,time,apparent_temperature,relativehumidity_2m,dewpoint_2m,pressure_msl,cloudcover,windspeed_10m,precipitation,direct_radiation,soil_temperature_0cm
0,2023-03-07T00:00,24.4,73,17.3,1015.6,0,4.1,0.0,0.0,20.6
1,2023-03-07T01:00,23.9,77,17.5,1015.1,17,4.0,0.0,0.0,20.8
2,2023-03-07T02:00,23.7,89,18.9,1015.4,22,3.1,0.0,0.0,20.2
3,2023-03-07T03:00,23.6,93,19.2,1015.1,29,2.6,0.0,0.0,19.9
4,2023-03-07T04:00,23.2,93,19.1,1015.0,37,2.3,0.0,0.0,19.6
5,2023-03-07T05:00,22.9,93,18.8,1015.2,30,2.7,0.0,0.0,19.2
6,2023-03-07T06:00,22.5,92,18.4,1016.1,24,2.6,0.0,0.0,19.0
7,2023-03-07T07:00,23.2,87,18.2,1016.5,6,2.3,0.0,24.0,21.4
8,2023-03-07T08:00,26.3,73,18.4,1017.4,0,2.0,0.0,192.0,27.8
9,2023-03-07T09:00,28.8,60,17.8,1017.3,0,1.8,0.0,419.0,31.3
10,2023-03-07T10:00,32.5,53,17.9,1016.9,42,0.7,0.0,602.0,37.4
11,2023-03-07T11:00,34.8,45,17.3,1016.0,74,1.4,0.0,586.0,38.4
12,2023-03-07T12:00,35.8,39,16.4,1014.9,72,0.5,0.0,510.0,36.0
13,2023-03-07T13:00,36.0,36,15.6,1013.8,75,1.3,0.0,519.0,35.5
14,2023-03-07T14:00,36.1,36,15.9,1013.2,66,0.8,0.0,467.0,35.2
15,2023-03-07T15:00,35.0,37,16.5,1012.5,96,2.8,0.0,364.0,36.3
16,2023-03-07T16:00,33.3,39,16.7,1012.7,72,7.7,0.0,282.0,34.0
17,2023-03-07T17:00,30.9,44,16.3,1013.2,77,10.3,0.0,142.0,29.7
18,2023-03-07T18:00,28.9,48,15.9,1013.7,54,9.4,0.0,27.0,26.6
19,2023-03-07T19:00,28.0,54,16.4,1014.0,37,6.1,0.0,0.0,25.2
20,2023-03-07T20:00,27.5,62,17.6,1015.1,0,3.1,0.0,0.0,23.9
21,2023-03-07T21:00,27.3,68,18.3,1015.8,0,2.2,0.0,0.0,23.0
22,2023-03-07T22:00,26.7,72,18.6,1016.4,5,3.0,0.0,0.0,22.5
23,2023-03-07T23:00,26.1,78,19.1,1016.1,12,3.4,0.0,0.0,22.3
24,2023-03-08T00:00,25.8,83,19.6,1015.8,36,2.8,0.0,0.0,21.7
25,2023-03-08T01:00,25.3,87,19.7,1015.1,33,3.1,0.0,0.0,21.6
26,2023-03-08T02:00,25.4,91,20.2,1014.8,39,2.9,0.0,0.0,21.5
27,2023-03-08T03:00,24.9,89,19.7,1014.4,49,2.7,0.0,0.0,21.1
28,2023-03-08T04:00,24.5,88,19.3,1014.8,49,2.6,0.0,0.0,20.7
29,2023-03-08T05:00,24.5,87,19.0,1014.9,36,1.9,0.0,0.0,20.3
30,2023-03-08T06:00,24.3,86,18.8,1015.4,15,1.8,0.0,0.0,19.9
31,2023-03-08T07:00,24.9,83,18.9,1015.9,4,1.9,0.0,24.0,22.6
32,2023-03-08T08:00,27.2,73,19.0,1016.9,31,1.8,0.0,192.0,28.1
33,2023-03-08T09:00,29.6,63,19.0,1017.1,17,2.9,0.0,403.0,32.6
34,2023-03-08T10:00,32.6,54,18.5,1016.7,71,1.1,0.0,537.0,33.2
35,2023-03-08T11:00,35.0,45,17.6,1015.4,71,0.5,0.0,520.0,35.6
36,2023-03-08T12:00,35.9,40,17.1,1014.2,80,2.9,0.0,506.0,37.8
37,2023-03-08T13:00,35.3,40,17.5,1013.3,84,5.8,0.0,439.0,37.1
38,2023-03-08T14:00,35.2,41,17.7,1012.9,89,5.2,0.0,395.0,37.8
39,2023-03-08T15:00,34.0,43,18.0,1012.5,93,6.8,0.0,343.0,35.1
40,2023-03-08T16:00,33.9,45,18.2,1012.5,92,4.6,0.0,238.0,33.7
41,2023-03-08T17:00,32.9,45,17.8,1012.5,58,6.1,0.0,153.0,31.5
42,2023-03-08T18:00,30.4,48,17.1,1012.9,52,8.2,0.0,40.0,27.6
43,2023-03-08T19:00,28.9,55,17.2,1013.5,17,6.0,0.0,0.0,25.7
44,2023-03-08T20:00,28.1,61,17.8,1013.8,31,4.3,0.0,0.0,24.6
45,2023-03-08T21:00,27.5,66,18.1,1014.5,29,2.2,0.0,0.0,23.5
46,2023-03-08T22:00,27.5,69,18.5,1014.9,49,0.5,0.0,0.0,23.1
47,2023-03-08T23:00,27.0,71,18.6,1014.9,45,2.1,0.0,0.0,22.6
48,2023-03-09T00:00,26.6,73,18.8,1014.5,59,3.8,0.0,0.0,22.3
49,2023-03-09T01:00,25.9,82,19.4,1013.8,51,2.7,0.0,0.0,22.0
50,2023-03-09T02:00,26.5,87,20.5,1013.4,53,2.2,0.0,0.0,22.4
51,2023-03-09T03:00,26.1,90,20.5,1013.5,46,2.2,0.0,0.0,21.8
52,2023-03-09T04:00,25.6,90,20.2,1013.4,46,2.6,0.0,0.0,21.8
53,2023-03-09T05:00,24.9,90,19.8,1013.6,4,2.8,0.0,0.0,21.1
54,2023-03-09T06:00,24.1,90,19.4,1014.0,0,3.1,0.0,0.0,20.4
55,2023-03-09T07:00,24.5,87,19.2,1014.8,6,2.5,0.0,26.0,22.7
56,2023-03-09T08:00,27.8,69,18.8,1015.6,38,1.3,0.0,189.0,28.9
57,2023-03-09T09:00,30.2,60,18.9,1015.5,37,2.4,0.0,365.0,33.4
58,2023-03-09T10:00,33.1,51,18.3,1015.3,75,1.8,0.0,550.0,34.8
59,2023-03-09T11:00,34.6,44,17.3,1014.4,86,2.4,0.0,524.0,36.8
60,2023-03-09T12:00,35.7,39,16.5,1013.3,81,4.4,0.0,539.0,38.8
61,2023-03-09T13:00,35.5,37,16.6,1011.9,81,7.2,0.0,536.0,38.7
62,2023-03-09T14:00,35.5,37,16.7,1011.1,85,4.7,0.0,452.0,37.4
63,2023-03-09T15:00,34.5,38,16.7,1010.3,91,5.2,0.0,335.0,36.3
64,2023-03-09T16:00,34.4,38,16.5,1010.3,89,3.7,0.0,266.0,35.0
65,2023-03-09T17:00,34.2,39,16.3,1010.6,72,0.8,0.0,171.0,31.8
66,2023-03-09T18:00,32.5,41,16.0,1011.0,51,3.6,0.0,34.0,28.7
